Timestamp,LLoad (kW),Demand
1/1/2017 12:00:00 AM,53.88,
1/1/2017 12:15:00 AM,51.37,13.16
1/1/2017 12:30:00 AM,54.45,13.23
1/1/2017 12:45:00 AM,25.38,9.98
1/1/2017 1:00:00 AM,49.76,9.39
1/1/2017 1:15:00 AM,52.18,12.74
1/1/2017 1:30:00 AM,52.24,13.05
1/1/2017 1:45:00 AM,19.68,8.99
1/1/2017 2:00:00 AM,43.52,7.90
1/1/2017 2:15:00 AM,42.3,10.73
1/1/2017 2:30:00 AM,41.46,10.47
1/1/2017 2:45:00 AM,20.96,7.80
1/1/2017 3:00:00 AM,43.78,8.09
1/1/2017 3:15:00 AM,40.67,10.56
1/1/2017 3:30:00 AM,40.28,10.12
1/1/2017 3:45:00 AM,22.48,7.85
1/1/2017 4:00:00 AM,42.31,8.10
1/1/2017 4:15:00 AM,41.68,10.50
1/1/2017 4:30:00 AM,41.76,10.43
1/1/2017 4:45:00 AM,28.7,8.81
1/1/2017 5:00:00 AM,61.31,11.25
1/1/2017 5:15:00 AM,60.28,15.20
1/1/2017 5:30:00 AM,61.14,15.18
1/1/2017 5:45:00 AM,26.24,10.92
1/1/2017 6:00:00 AM,68.98,11.90
1/1/2017 6:15:00 AM,72.84,17.73
1/1/2017 6:30:00 AM,88.03,20.11
1/1/2017 6:45:00 AM,268.99,44.63
1/1/2017 7:00:00 AM,678.33,118.42
1/1/2017 7:15:00 AM,686.44,170.60
1/1/2017 7:30:00 AM,711.35,174.72
1/1/2017 7:45:00 AM,497.39,151.09
1/1/2017 8:00:00 AM,1076.99,196.80
1/1/2017 8:15:00 AM,975.8,256.60
1/1/2017 8:30:00 AM,909.27,235.63
1/1/2017 8:45:00 AM,404.8,164.26
1/1/2017 9:00:00 AM,904.19,163.62
1/1/2017 9:15:00 AM,937.7,230.24
1/1/2017 9:30:00 AM,960.65,237.29
1/1/2017 9:45:00 AM,480.08,180.09
1/1/2017 10:00:00 AM,951.51,178.95
1/1/2017 10:15:00 AM,947.93,237.43
1/1/2017 10:30:00 AM,950.37,237.29
1/1/2017 10:45:00 AM,517.89,183.53
1/1/2017 11:00:00 AM,953.89,183.97
1/1/2017 11:15:00 AM,917.06,233.87
1/1/2017 11:30:00 AM,898.62,226.96
1/1/2017 11:45:00 AM,390.94,161.20
1/1/2017 12:00:00 PM,907.99,162.37
1/1/2017 12:15:00 PM,901.06,226.13
1/1/2017 12:30:00 PM,890.72,223.97
1/1/2017 12:45:00 PM,377.29,158.50
1/1/2017 1:00:00 PM,887.64,158.12
1/1/2017 1:15:00 PM,890.22,222.23
1/1/2017 1:30:00 PM,890.16,222.55
1/1/2017 1:45:00 PM,380.33,158.81
1/1/2017 2:00:00 PM,887.91,158.53
1/1/2017 2:15:00 PM,892.25,222.52
1/1/2017 2:30:00 PM,892.54,223.10
1/1/2017 2:45:00 PM,386.21,159.84
1/1/2017 3:00:00 PM,887.25,159.18
1/1/2017 3:15:00 PM,899.33,223.32
1/1/2017 3:30:00 PM,909.14,226.06
1/1/2017 3:45:00 PM,396.47,163.20
1/1/2017 4:00:00 PM,880.07,159.57
1/1/2017 4:15:00 PM,896.57,222.08
1/1/2017 4:30:00 PM,873.71,221.29
1/1/2017 4:45:00 PM,164.35,129.76
1/1/2017 5:00:00 PM,686,106.29
1/1/2017 5:15:00 PM,689.21,171.90
1/1/2017 5:30:00 PM,688,172.15
1/1/2017 5:45:00 PM,178.08,108.26
1/1/2017 6:00:00 PM,692.71,108.85
1/1/2017 6:15:00 PM,675.7,171.05
1/1/2017 6:30:00 PM,302.71,122.30
1/1/2017 6:45:00 PM,30.51,41.65
1/1/2017 7:00:00 PM,103.46,16.75
1/1/2017 7:15:00 PM,107.5,26.37
1/1/2017 7:30:00 PM,97.45,25.62
1/1/2017 7:45:00 PM,41.33,17.35
1/1/2017 8:00:00 PM,83.4,15.59
1/1/2017 8:15:00 PM,83.51,20.86
1/1/2017 8:30:00 PM,86.18,21.21
1/1/2017 8:45:00 PM,18.84,13.13
1/1/2017 9:00:00 PM,78.41,12.16
1/1/2017 9:15:00 PM,83.49,20.24
1/1/2017 9:30:00 PM,86.46,21.24
1/1/2017 9:45:00 PM,18.85,13.16
1/1/2017 10:00:00 PM,81.69,12.57
1/1/2017 10:15:00 PM,48.25,16.24
1/1/2017 10:30:00 PM,56.56,13.10
1/1/2017 10:45:00 PM,12.32,8.61
1/1/2017 11:00:00 PM,52.31,8.08
