Timestamp,Solar Power (kW),PV_component
1/1/2017 12:00:00 AM,0,
1/1/2017 12:15:00 AM,0,0.00
1/1/2017 12:30:00 AM,0,0.00
1/1/2017 12:45:00 AM,0,0.00
1/1/2017 1:00:00 AM,0,0.00
1/1/2017 1:15:00 AM,0,0.00
1/1/2017 1:30:00 AM,0,0.00
1/1/2017 1:45:00 AM,0,0.00
1/1/2017 2:00:00 AM,0,0.00
1/1/2017 2:15:00 AM,0,0.00
1/1/2017 2:30:00 AM,0,0.00
1/1/2017 2:45:00 AM,0,0.00
1/1/2017 3:00:00 AM,0,0.00
1/1/2017 3:15:00 AM,0,0.00
1/1/2017 3:30:00 AM,0,0.00
1/1/2017 3:45:00 AM,0,0.00
1/1/2017 4:00:00 AM,0,0.00
1/1/2017 4:15:00 AM,0,0.00
1/1/2017 4:30:00 AM,0,0.00
1/1/2017 4:45:00 AM,0,0.00
1/1/2017 5:00:00 AM,0,0.00
1/1/2017 5:15:00 AM,0,0.00
1/1/2017 5:30:00 AM,0,0.00
1/1/2017 5:45:00 AM,0,0.00
1/1/2017 6:00:00 AM,0,0.00
1/1/2017 6:15:00 AM,0,0.00
1/1/2017 6:30:00 AM,0,0.00
1/1/2017 6:45:00 AM,0,0.00
1/1/2017 7:00:00 AM,0.076,0.01
1/1/2017 7:15:00 AM,0.252,0.04
1/1/2017 7:30:00 AM,0.632,0.11
1/1/2017 7:45:00 AM,0.824,0.18
1/1/2017 8:00:00 AM,0.84,0.21
1/1/2017 8:15:00 AM,1.2,0.26
1/1/2017 8:30:00 AM,1.24,0.31
1/1/2017 8:45:00 AM,1.576,0.35
1/1/2017 9:00:00 AM,2.06,0.45
1/1/2017 9:15:00 AM,2.292,0.54
1/1/2017 9:30:00 AM,2.548,0.61
1/1/2017 9:45:00 AM,2.624,0.65
1/1/2017 10:00:00 AM,2.916,0.69
1/1/2017 10:15:00 AM,2.964,0.74
1/1/2017 10:30:00 AM,3.272,0.78
1/1/2017 10:45:00 AM,3.524,0.85
1/1/2017 11:00:00 AM,3.284,0.85
1/1/2017 11:15:00 AM,3.308,0.82
1/1/2017 11:30:00 AM,3.428,0.84
1/1/2017 11:45:00 AM,2.52,0.74
1/1/2017 12:00:00 PM,1.912,0.55
1/1/2017 12:15:00 PM,2.5,0.55
1/1/2017 12:30:00 PM,3.18,0.71
1/1/2017 12:45:00 PM,3.388,0.82
1/1/2017 1:00:00 PM,3.58,0.87
1/1/2017 1:15:00 PM,1.828,0.68
1/1/2017 1:30:00 PM,0,0.23
1/1/2017 1:45:00 PM,0,0.00
1/1/2017 2:00:00 PM,0,0.00
1/1/2017 2:15:00 PM,0,0.00
1/1/2017 2:30:00 PM,0,0.00
1/1/2017 2:45:00 PM,0,0.00
1/1/2017 3:00:00 PM,1.296,0.16
1/1/2017 3:15:00 PM,1.596,0.36
1/1/2017 3:30:00 PM,2.46,0.51
1/1/2017 3:45:00 PM,3.18,0.71
1/1/2017 4:00:00 PM,2.644,0.73
1/1/2017 4:15:00 PM,1.94,0.57
1/1/2017 4:30:00 PM,1.928,0.48
1/1/2017 4:45:00 PM,1.092,0.38
1/1/2017 5:00:00 PM,1.188,0.29
1/1/2017 5:15:00 PM,1.108,0.29
1/1/2017 5:30:00 PM,1.048,0.27
1/1/2017 5:45:00 PM,0.812,0.23
1/1/2017 6:00:00 PM,0.628,0.18
1/1/2017 6:15:00 PM,0.364,0.12
1/1/2017 6:30:00 PM,0.196,0.07
1/1/2017 6:45:00 PM,0.12,0.04
1/1/2017 7:00:00 PM,0.072,0.02
1/1/2017 7:15:00 PM,0.056,0.02
1/1/2017 7:30:00 PM,0.032,0.01
1/1/2017 7:45:00 PM,0,0.00
1/1/2017 8:00:00 PM,0,0.00
1/1/2017 8:15:00 PM,0,0.00
1/1/2017 8:30:00 PM,0,0.00
1/1/2017 8:45:00 PM,0,0.00
1/1/2017 9:00:00 PM,0,0.00
1/1/2017 9:15:00 PM,0,0.00
1/1/2017 9:30:00 PM,0,0.00
1/1/2017 9:45:00 PM,0,0.00
1/1/2017 10:00:00 PM,0,0.00
1/1/2017 10:15:00 PM,0,0.00
1/1/2017 10:30:00 PM,0,0.00
1/1/2017 10:45:00 PM,0,0.00
1/1/2017 11:00:00 PM,0,0.00
1/1/2017 11:15:00 PM,0,0.00
1/1/2017 11:30:00 PM,0,0.00
1/1/2017 11:45:00 PM,0,0.00
1/2/2017 12:00:00 AM,0,0.00
1/2/2017 12:15:00 AM,0,0.00
1/2/2017 12:30:00 AM,0,0.00
1/2/2017 12:45:00 AM,0,0.00
1/2/2017 1:00:00 AM,0,0.00
1/2/2017 1:15:00 AM,0,0.00
1/2/2017 1:30:00 AM,0,0.00
1/2/2017 1:45:00 AM,0,0.00
1/2/2017 2:00:00 AM,0,0.00
1/2/2017 2:15:00 AM,0,0.00
1/2/2017 2:30:00 AM,0,0.00
1/2/2017 2:45:00 AM,0,0.00
1/2/2017 3:00:00 AM,0,0.00
1/2/2017 3:15:00 AM,0,0.00
1/2/2017 3:30:00 AM,0,0.00
1/2/2017 3:45:00 AM,0,0.00
1/2/2017 4:00:00 AM,0,0.00
1/2/2017 4:15:00 AM,0,0.00
1/2/2017 4:30:00 AM,0,0.00
1/2/2017 4:45:00 AM,0,0.00
1/2/2017 5:00:00 AM,0,0.00
1/2/2017 5:15:00 AM,0,0.00
1/2/2017 5:30:00 AM,0,0.00
1/2/2017 5:45:00 AM,0,0.00
1/2/2017 6:00:00 AM,0,0.00
1/2/2017 6:15:00 AM,0,0.00
1/2/2017 6:30:00 AM,0,0.00
1/2/2017 6:45:00 AM,0,0.00
1/2/2017 7:00:00 AM,0,0.00
1/2/2017 7:15:00 AM,0,0.00
1/2/2017 7:30:00 AM,0,0.00
1/2/2017 7:45:00 AM,0,0.00
1/2/2017 8:00:00 AM,0,0.00
1/2/2017 8:15:00 AM,0.08,0.01
1/2/2017 8:30:00 AM,0.232,0.04
1/2/2017 8:45:00 AM,0.328,0.07
1/2/2017 9:00:00 AM,0.56,0.11
