Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),PV_component
1,1,0,0,0,24.04,3,0,24.04,0,0,
1,1,1,0,0,23.907,3,0,23.907,0,0,0
1,1,2,0,0,23.814,2,0,23.814,0,0,0
1,1,3,0,0,23.695,3,0,23.695,0,0,0
1,1,4,0,0,23.588,3,0,23.588,0,0,0
1,1,5,0,0,22.653,3,0,22.653,0,0,0
1,1,6,0,2,22.994,3,1.89,21.514,3.469,0,0
1,1,7,330,91,23.951,2,268.375,29.468,458.04,409.343,204.6715
1,1,8,623,126,25.495,2,576.351,39.825,957.873,864.003,636.673
1,1,9,788,121,26.621,2,804.117,47.496,1295.31,1168.745,1016.374
1,1,10,848,149,27.59,2,972.197,53.127,1523.05,1373.417,1271.081
1,1,11,875,155,28.304,1,1043.502,60.552,1569.563,1415.12,1394.2685
1,1,12,878,156,28.703,1,1033.262,60.903,1550.941,1398.427,1406.7735
1,1,13,859,152,28.785,1,944.748,58.632,1434.89,1294.283,1346.355
1,1,14,815,143,28.595,1,791.081,54.046,1226.568,1106.807,1200.545
1,1,15,732,126,28.104,1,577.994,47.133,914.049,824.294,965.5505
1,1,16,505,114,27.404,1,321.397,38.166,507.489,454.497,639.3955
1,1,17,158,48,27.055,1,92.542,29.646,145.908,123.449,288.973
1,1,18,0,0,26.844,1,0,26.844,0,0,61.7245
1,1,19,0,0,26.366,1,0,26.366,0,0,0
1,1,20,0,0,25.797,2,0,25.797,0,0,0
1,1,21,0,0,25.175,2,0,25.175,0,0,0
1,1,22,0,0,24.613,2,0,24.613,0,0,0
1,1,23,0,0,24.105,3,0,24.105,0,0,0
1,2,0,0,0,23.661,3,0,23.661,0,0,0
1,2,1,0,0,23.338,3,0,23.338,0,0,0
1,2,2,0,0,23.14,3,0,23.14,0,0,0
1,2,3,0,0,22.972,3,0,22.972,0,0,0
1,2,4,0,0,22.81,3,0,22.81,0,0,0
1,2,5,0,0,22.728,3,0,22.728,0,0,0
1,2,6,0,1,23.109,3,0.945,21.609,1.734,0,0
1,2,7,432,75,24.168,3,303.821,29.927,514.325,460.735,230.3675
